business_id,business_overall_stars,business_name,user_name,version,review_stars,text
2.02E+13,1.8,Philips Hue,MrDavidIbarra,2.8.0,1,The first gen app was better. I am always having trouble connecting with Siri or with the new Geofencing.
2.02E+13,1.8,Philips Hue,Joe review,2.8.0,1,This needs to be fixed I can't use my $200 lights now.
2.02E+13,1.8,Philips Hue,Awesomegirlbhdhshega,2.8.0,2,"I have three lights that I've been using for a long time; they haven't been working at all with these past few updates. I make sure I keep everything up to date and the lights are still unresponsive. Aside from that, I loved them when they worked."
2.02E+13,1.8,Philips Hue,kevinguzmvn,2.8.0,1,"Can't use home app if the hue app is not updated. Got home from a trip and none of my lights turned on, neither could they be turned on through the hue app without first updating the lights. How the heck do you expect me to update if I can't even see where to place my stuff inside my home once I arrive from my trip. Mildly annoying but the more I think about it, the more annoying it is. My Sonos speakers can still work, even with an update pending. Why can't my lights?? I've spent so much money on these stupid lights, let me use them when I f***ing need it, DUH"
2.02E+13,1.8,Philips Hue,2plypat,2.8.0,1,"I've never done this before. I've never written a review, but I'm doing for you Philips. This is terrible. Someone should probably be fired for releasing this app."
2.02E+13,1.8,Philips Hue,R0binStar,2.8.0,1,"The first gen app was much better. It gave better control for not individual and grouped lights. So disappointed on this ""new"" version which makes many things much more complicated and time consuming _"
2.02E+13,1.8,Philips Hue,jcjungledj,2.8.0,1,Why remove functionality that obviously drew people to the system? This app is inferior to the 1st gen app.
2.02E+13,1.8,Philips Hue,Sweep11,2.8.0,1,Ever since I had to update the app it no longer connects regularly. I have to delete and reinstall it.  Don't update. It's garbage
2.02E+13,1.8,Philips Hue,Hkimble92,2.8.0,1,"The first gen app made it easy and fun to create new scenes and stored everything in a logical place. The new app requires you to meander through the entire non intuitive interface to accomplish anything, and yet it still seems to fall flat of the functionality of its predecessor. I sincerely hope they address these issues, because it seems clear that the other app will soon no longer be supported."
2.02E+13,1.8,Philips Hue,kaushikc,2.8.0,1,I had many problems. Cannot login and frequent sync error. All my settings keep getting erased randomly. Massive drain on the battery. Very slow to switch the lights on and off. It was good before but it is terrible for the first gen hue now. Updates are getting worse. People dont keep updating hardware for lights every year. Philips need to provide quality support fora reasonable period of time.
2.02E+13,1.8,Philips Hue,Itsmehere59,2.8.0,1,"Wow Philips. What a spectacular way to destroy a fantastic system. Seriously, who did your UAT and did they realise what they had to do. This screams of being tested by someone who does not use or understand your product. Terrible user interface and leaving out proven and popular functionality. Switch to supporting the first App which I have happily used for 20 months now and will go back to. I am available for UAT if you need someone who knows what they are doing. All I ask is that you don't let the same people lose on the hardware or you will ruin that too."
2.02E+13,1.8,Philips Hue,Machete Rabioso,2.8.0,1,I deinstalled after 3 days. Went back to the previous version. Geofencing don't know if its working or not. With the previous version you receive a notification when arriving and leaving. Couldn't find a way to group the lights with my custom scene. I tried to add all the lights under home and then they weren't available individually anymore... very confusing. Wouldn't upgrade to this version. Needs further work.
